date,amount,productCategory,region,company
2024-03-06,308292.43,Commercial Vehicles,Central India,Tata Motors
2023-08-09,520051.72,Spare Parts,Central India,Tata Motors
2023-11-02,347998.85,Service Centers,East India,Tata Motors
2024-08-20,258633.07,Spare Parts,South India,Tata Motors
2023-07-23,136667.44,Passenger Vehicles,South India,Tata Motors
2023-01-04,392359.24,Service Centers,East India,Tata Motors
2024-06-30,197321.55,Spare Parts,North India,Tata Motors
2024-01-21,430098.42,Service Centers,South India,Tata Motors
2023-01-26,400511.25,Service Centers,Central India,Tata Motors
2024-06-07,298218.19,Service Centers,North India,Tata Motors
2024-08-28,520885.93,Passenger Vehicles,Central India,Tata Motors
2023-08-26,183548.85,Commercial Vehicles,East India,Tata Motors
2023-08-17,375199.52,Passenger Vehicles,East India,Tata Motors
2024-10-18,477739.10,Service Centers,East India,Tata Motors
2023-03-19,83946.96,Service Centers,East India,Tata Motors
2024-03-18,530711.76,Spare Parts,West India,Tata Motors
2024-12-27,437331.94,Commercial Vehicles,West India,Tata Motors
2023-12-05,521666.11,Service Centers,Central India,Tata Motors
2023-10-14,533279.13,Passenger Vehicles,South India,Tata Motors
2024-11-10,84459.87,Commercial Vehicles,East India,Tata Motors
2023-09-17,492319.33,Service Centers,West India,Tata Motors
2023-11-17,190999.50,Passenger Vehicles,East India,Tata Motors
2024-12-16,471345.99,Spare Parts,North India,Tata Motors
2024-11-05,426208.96,Spare Parts,Central India,Tata Motors
2023-11-22,287442.97,Passenger Vehicles,South India,Tata Motors
2024-01-02,317004.51,Service Centers,South India,Tata Motors
2024-04-26,179426.16,Passenger Vehicles,North India,Tata Motors
2023-06-06,373362.26,Service Centers,North India,Tata Motors
2024-03-09,177218.18,Service Centers,West India,Tata Motors
2024-05-05,337205.91,Commercial Vehicles,West India,Tata Motors
2024-06-09,425487.97,Service Centers,South India,Tata Motors
2024-12-15,208427.89,Spare Parts,Central India,Tata Motors
2024-07-27,510919.05,Commercial Vehicles,West India,Tata Motors
2023-06-07,490447.51,Service Centers,Central India,Tata Motors
2023-11-06,475828.53,Service Centers,West India,Tata Motors
2023-10-08,265264.24,Spare Parts,West India,Tata Motors
2024-06-28,229485.94,Passenger Vehicles,South India,Tata Motors
2023-06-02,361809.78,Commercial Vehicles,Central India,Tata Motors
2023-10-09,236764.89,Spare Parts,South India,Tata Motors
2023-01-19,246620.18,Commercial Vehicles,Central India,Tata Motors
2024-05-25,316258.36,Service Centers,Central India,Tata Motors
2024-11-08,188217.59,Service Centers,West India,Tata Motors
2024-03-24,438966.08,Commercial Vehicles,West India,Tata Motors
2024-08-07,407438.55,Service Centers,West India,Tata Motors
2024-03-06,412281.38,Spare Parts,East India,Tata Motors
2024-04-11,182460.56,Commercial Vehicles,North India,Tata Motors
2024-09-16,52273.73,Service Centers,West India,Tata Motors
2024-04-08,105306.08,Passenger Vehicles,East India,Tata Motors
2023-09-25,117218.13,Commercial Vehicles,East India,Tata Motors
2023-07-14,106195.87,Commercial Vehicles,South India,Tata Motors
