date,amount,productCategory,region
2024-10-21,750.49,Clothing,Australia
2024-01-20,295.12,Clothing,Europe
2024-05-11,223.52,Sports,Australia
2024-09-18,871.04,Home & Garden,Asia
2024-06-27,724.66,Sports,Australia
2024-08-02,431.91,Toys,Asia
2024-03-27,12.40,Clothing,South America
2024-02-08,499.71,Clothing,Australia
2024-12-17,77.04,Electronics,Australia
2024-03-06,866.09,Clothing,Asia
2024-12-17,449.41,Home & Garden,Europe
2024-12-16,727.89,Clothing,North America
2024-11-19,270.56,Toys,North America
2024-02-10,799.91,Home & Garden,Australia
2024-03-13,792.09,Toys,Asia
2024-05-25,606.94,Home & Garden,Asia
2024-02-07,140.90,Sports,Australia
2024-08-07,28.55,Sports,Australia
2024-11-18,307.16,Home & Garden,Europe
2024-07-15,973.25,Home & Garden,Asia
2024-04-23,233.52,Electronics,Asia
2024-12-30,742.02,Sports,Australia
2024-09-14,582.64,Electronics,South America
2024-07-17,678.07,Electronics,Europe
2024-02-26,194.86,Toys,Europe
2024-08-31,83.48,Electronics,Asia
2024-04-14,481.23,Clothing,Europe
2024-11-09,98.67,Sports,Europe
2024-04-19,157.83,Home & Garden,South America
2024-08-22,471.47,Electronics,South America
2024-09-03,147.91,Home & Garden,Australia
2024-03-13,658.57,Sports,Europe
2024-07-28,904.09,Electronics,Asia
2024-10-19,148.40,Home & Garden,South America
2024-03-25,477.92,Clothing,Australia
2024-03-30,390.28,Clothing,Europe
2024-04-07,760.15,Electronics,Asia
2024-08-10,262.27,Sports,Australia
2024-10-27,940.93,Sports,North America
2024-05-22,619.64,Clothing,South America
2024-04-09,713.57,Home & Garden,Australia
2024-06-17,156.29,Electronics,Australia
2024-09-16,398.13,Clothing,Europe
2024-01-27,306.48,Clothing,Europe
2024-08-01,838.52,Toys,Australia
2024-07-08,606.57,Toys,North America
2024-10-23,242.10,Clothing,South America
2024-11-30,779.19,Home & Garden,South America
2024-10-07,856.69,Electronics,Asia
2024-04-01,640.97,Home & Garden,South America
2024-10-29,491.69,Clothing,Asia
2024-01-21,734.09,Clothing,Europe
2024-02-12,600.53,Toys,Europe
2024-12-25,205.91,Toys,South America
2024-01-30,328.58,Home & Garden,Asia
2024-01-09,168.14,Electronics,Europe
2024-10-14,323.43,Home & Garden,Australia
2024-09-03,841.73,Electronics,North America
2024-03-29,317.29,Toys,Australia
2024-04-09,589.75,Electronics,South America
2024-02-28,969.48,Clothing,South America
2024-02-23,911.01,Toys,Asia
2024-11-06,259.79,Sports,Europe
2024-10-24,548.67,Clothing,Asia
2024-05-22,639.09,Toys,South America
2024-11-12,886.34,Clothing,Asia
2024-08-28,115.36,Clothing,Australia
2024-04-13,506.85,Sports,Australia
2024-03-01,393.18,Electronics,Asia
2024-07-16,871.96,Toys,South America
2024-04-02,160.32,Electronics,Asia
2024-07-11,263.68,Toys,North America
2024-08-06,424.11,Toys,Australia
2024-02-08,701.57,Home & Garden,North America
2024-02-15,672.07,Toys,Asia
2024-08-30,957.87,Electronics,Europe
2024-08-21,363.99,Home & Garden,South America
2024-11-10,487.51,Toys,Australia
2024-10-03,484.60,Sports,North America
2024-06-22,781.63,Sports,Europe
2024-06-10,69.03,Toys,South America
2024-06-18,678.70,Clothing,South America
2024-01-16,515.37,Electronics,Australia
2024-01-08,271.58,Clothing,Asia
2024-01-26,373.71,Toys,South America
2024-01-26,398.19,Clothing,Asia
2024-08-03,220.43,Sports,South America
2024-12-08,496.63,Home & Garden,South America
2024-06-19,475.54,Toys,Australia
2024-07-14,180.81,Toys,Asia
2024-12-25,378.43,Sports,Asia
2024-05-29,65.45,Toys,Australia
2024-12-12,206.03,Home & Garden,South America
2024-12-02,188.23,Electronics,Asia
2024-06-22,263.23,Toys,Europe
2024-12-01,890.91,Home & Garden,Australia
2024-01-07,138.48,Sports,South America
2024-01-18,569.01,Toys,Australia
2024-06-16,282.76,Electronics,Asia
2024-04-29,865.91,Toys,Europe
2024-08-04,924.74,Toys,Europe
2024-06-24,848.92,Clothing,Australia
2024-12-11,777.83,Clothing,Europe
2024-08-28,251.54,Home & Garden,Australia
2024-01-24,617.42,Clothing,Europe
2024-03-29,341.04,Toys,Asia
2024-04-16,286.16,Sports,North America
2024-04-27,685.98,Home & Garden,Australia
2024-08-27,370.10,Home & Garden,North America
2024-05-23,244.18,Clothing,North America
2024-11-21,626.57,Electronics,Australia
2024-09-11,875.68,Clothing,Europe
2024-01-22,376.77,Electronics,North America
2024-10-18,521.40,Electronics,Australia
2024-07-25,127.55,Toys,Asia
2024-12-13,318.60,Home & Garden,Asia
2024-11-23,665.90,Electronics,North America
2024-03-21,302.96,Clothing,North America
2024-04-27,636.51,Sports,Asia
2024-08-25,123.23,Sports,Australia
2024-08-16,341.14,Clothing,Europe
2024-04-27,781.64,Toys,Australia
2024-07-21,565.22,Toys,South America
2024-05-26,953.83,Toys,Europe
2024-10-15,130.56,Home & Garden,Australia
2024-06-24,589.26,Sports,Australia
2024-12-21,385.57,Clothing,Australia
2024-11-20,144.67,Electronics,Australia
2024-10-03,521.95,Sports,South America
2024-05-27,993.54,Clothing,Europe
2024-12-24,44.90,Clothing,Australia
2024-04-28,717.40,Clothing,Australia
2024-10-26,565.16,Home & Garden,Australia
2024-07-15,394.71,Home & Garden,Europe
2024-03-19,824.73,Toys,Europe
2024-11-07,355.15,Electronics,South America
2024-12-18,67.04,Sports,South America
2024-10-22,985.81,Home & Garden,Europe
2024-03-04,30.38,Electronics,North America
2024-05-08,472.81,Sports,Europe
2024-06-25,454.57,Electronics,Australia
2024-08-31,344.22,Toys,Europe
2024-10-13,326.92,Home & Garden,Europe
2024-05-20,261.28,Sports,South America
2024-02-27,122.65,Clothing,South America
2024-02-04,114.22,Electronics,Australia
2024-06-12,725.19,Sports,North America
2024-11-25,122.08,Electronics,South America
2024-07-09,746.98,Home & Garden,Europe
2024-04-08,622.02,Electronics,Europe
2024-01-09,28.44,Sports,Europe
2024-07-11,310.00,Clothing,Australia
2024-09-21,793.50,Electronics,North America
2024-04-08,409.90,Sports,Europe
2024-05-11,739.87,Home & Garden,Asia
2024-01-08,806.84,Electronics,Australia
2024-06-01,144.40,Electronics,Australia
2024-05-20,515.81,Sports,Australia
2024-04-24,228.95,Electronics,South America
2024-01-04,755.70,Clothing,Asia
2024-10-13,620.56,Electronics,Australia
2024-07-17,705.45,Toys,Asia
2024-03-31,489.36,Home & Garden,Asia
2024-04-17,38.58,Home & Garden,South America
2024-09-07,735.42,Sports,Asia
2024-01-27,341.41,Home & Garden,North America
2024-08-10,676.16,Home & Garden,South America
2024-03-01,763.43,Sports,Australia
2024-07-23,25.29,Home & Garden,Asia
2024-05-26,778.55,Home & Garden,South America
2024-05-25,95.19,Electronics,Europe
2024-12-09,670.22,Electronics,Australia
2024-01-02,23.51,Home & Garden,Asia
2024-08-20,798.32,Electronics,Australia
2024-03-04,384.64,Electronics,Europe
2024-04-05,233.80,Clothing,Australia
2024-06-29,586.57,Electronics,Australia
2024-08-24,978.30,Electronics,Australia
2024-03-20,603.62,Electronics,Asia
2024-05-25,703.52,Clothing,Europe
2024-05-17,43.98,Electronics,South America
2024-11-12,158.21,Home & Garden,North America
2024-03-08,255.92,Home & Garden,Europe
2024-09-20,502.44,Electronics,Europe
2024-05-25,212.12,Electronics,Australia
2024-09-16,177.19,Sports,Europe
2024-07-19,120.51,Clothing,Asia
2024-01-26,957.40,Sports,South America
2024-01-24,151.74,Electronics,Australia
2024-08-04,807.78,Clothing,Europe
2024-09-03,383.70,Sports,North America
2024-03-27,978.59,Electronics,South America
2024-02-10,987.28,Electronics,Australia
2024-03-19,853.58,Toys,Europe
2024-01-05,805.57,Sports,Asia
2024-10-04,220.89,Toys,North America
2024-06-02,195.41,Sports,Australia
2024-08-08,851.19,Electronics,Asia
2024-08-12,259.53,Sports,Europe
2024-08-17,792.17,Toys,Europe
2024-09-10,868.85,Electronics,South America
2024-03-08,696.16,Home & Garden,Europe
2024-05-19,986.73,Electronics,Australia
2024-10-20,23.63,Sports,Asia
2024-05-12,825.64,Sports,Australia
2024-06-09,560.85,Sports,South America
2024-08-28,616.94,Home & Garden,North America
2024-01-06,306.63,Electronics,Asia
2024-06-26,823.51,Toys,Europe
2024-07-22,17.63,Toys,South America
2024-03-22,267.95,Sports,Europe
2024-03-11,199.48,Home & Garden,North America
2024-09-28,557.72,Toys,South America
2024-12-27,323.99,Sports,Europe
2024-08-17,840.94,Toys,Asia
2024-07-04,747.44,Home & Garden,Europe
2024-05-30,863.46,Electronics,Asia
2024-04-11,288.53,Clothing,North America
2024-02-12,92.39,Electronics,Asia
2024-01-24,996.95,Clothing,North America
2024-08-15,673.08,Toys,North America
2024-06-18,347.88,Clothing,Australia
2024-10-28,694.91,Clothing,South America
2024-12-01,664.08,Home & Garden,Europe
2024-11-23,523.75,Clothing,Europe
2024-06-26,805.33,Toys,North America
