date,amount,productCategory,region
2025-08-19,120970,Tea & Spices,South - Bengaluru
2025-02-27,411214,Information Technology,East - Kolkata
2024-10-27,408709,Steel,East - Kolkata
2023-10-12,276935,Tea & Spices,Central - Nagpur
2024-01-21,388095,Automobiles,West - Mumbai
2024-08-04,138073,Information Technology,South - Bengaluru
2024-01-03,479407,Information Technology,North - Delhi
2024-12-03,207065,Automobiles,North - Delhi
2021-11-05,79888,Information Technology,South - Bengaluru
2022-06-16,66006,Information Technology,West - Mumbai
2024-09-28,295004,Textiles,Central - Nagpur
2025-12-09,319480,Tea & Spices,West - Mumbai
2023-08-13,493647,Tea & Spices,East - Kolkata
2025-04-29,486076,Information Technology,West - Mumbai
2025-02-21,351921,Textiles,Central - Nagpur
2024-10-18,357893,Automobiles,East - Kolkata
2021-07-17,429258,Textiles,East - Kolkata
2021-04-15,271387,Automobiles,West - Mumbai
2024-01-14,224969,Automobiles,West - Mumbai
2024-06-04,304823,Information Technology,East - Kolkata
2025-04-04,490397,Steel,East - Kolkata
2022-08-10,253167,Automobiles,Central - Nagpur
2025-07-10,479039,Automobiles,Central - Nagpur
2025-09-30,418532,Information Technology,West - Mumbai
2023-11-28,337657,Information Technology,East - Kolkata
2024-11-04,62880,Steel,Central - Nagpur
2024-07-29,443370,Tea & Spices,East - Kolkata
2022-07-18,161731,Information Technology,North - Delhi
2021-11-06,104616,Information Technology,Central - Nagpur
2021-02-16,309052,Automobiles,North - Delhi
2022-07-01,203868,Steel,Central - Nagpur
2026-01-03,266460,Steel,East - Kolkata
2023-07-29,110228,Textiles,Central - Nagpur
2022-12-30,428954,Automobiles,Central - Nagpur
2024-04-23,448119,Automobiles,West - Mumbai
2021-03-28,292050,Tea & Spices,North - Delhi
2022-11-29,83038,Automobiles,East - Kolkata
2023-04-07,210776,Steel,South - Bengaluru
2025-10-16,357224,Automobiles,South - Bengaluru
2025-06-05,121926,Steel,West - Mumbai
2023-04-04,209195,Information Technology,North - Delhi
2024-08-12,430640,Tea & Spices,South - Bengaluru
2024-05-09,447391,Textiles,East - Kolkata
2023-04-05,384209,Steel,Central - Nagpur
2023-05-13,54530,Automobiles,South - Bengaluru
2023-04-20,88736,Tea & Spices,East - Kolkata
2021-12-27,205375,Automobiles,South - Bengaluru
2022-02-27,318641,Steel,East - Kolkata
2023-11-13,469259,Tea & Spices,West - Mumbai
2024-10-27,85904,Steel,South - Bengaluru
