date,amount,productCategory,region
2025-11-24,5614,Organic Produce,Pune Rural
2024-11-08,7580,Street Food,Mumbai Suburban
2025-09-26,11403,Local Tailoring,Delhi Old City
2024-09-16,9932,Local Tailoring,Pune Rural
2025-05-23,13967,Kirana Store,Bangalore South
2024-06-19,9967,Street Food,Delhi Old City
2025-07-15,8946,Handmade Crafts,Bangalore South
2024-07-24,1540,Handmade Crafts,Mumbai Suburban
2024-04-12,12735,Local Tailoring,Bangalore South
2024-04-06,13908,Kirana Store,Mumbai Suburban
2024-05-10,9004,Handmade Crafts,Mumbai Suburban
2024-07-16,14616,Handmade Crafts,Pune Rural
2025-06-24,8473,Local Tailoring,Bangalore South
2025-11-01,1213,Handmade Crafts,Pune Rural
2024-10-30,13696,Local Tailoring,Bangalore South
2025-05-18,10317,Handmade Crafts,Chennai Central
2024-09-16,12802,Handmade Crafts,Mumbai Suburban
2025-11-01,10476,Local Tailoring,Mumbai Suburban
2025-06-14,629,Kirana Store,Pune Rural
2025-09-06,4425,Kirana Store,Chennai Central
2025-02-21,3530,Handmade Crafts,Pune Rural
2025-10-09,14659,Organic Produce,Chennai Central
2024-10-02,11645,Handmade Crafts,Chennai Central
2025-05-25,5085,Street Food,Bangalore South
2025-06-21,8285,Handmade Crafts,Bangalore South
2024-11-22,6622,Local Tailoring,Mumbai Suburban
2024-10-07,9518,Kirana Store,Delhi Old City
2025-12-06,14036,Street Food,Delhi Old City
2025-02-27,6792,Kirana Store,Delhi Old City
2025-05-14,7582,Handmade Crafts,Chennai Central
2024-06-22,3415,Street Food,Delhi Old City
2024-12-05,9466,Organic Produce,Pune Rural
2024-08-09,6969,Local Tailoring,Delhi Old City
2025-03-06,6903,Local Tailoring,Pune Rural
2025-05-19,3865,Street Food,Chennai Central
2025-07-27,4786,Handmade Crafts,Mumbai Suburban
2024-04-26,9196,Local Tailoring,Chennai Central
2024-12-28,6440,Street Food,Pune Rural
2025-12-26,8755,Organic Produce,Mumbai Suburban
2025-02-25,9313,Handmade Crafts,Delhi Old City
2025-02-05,9459,Handmade Crafts,Chennai Central
2025-08-14,8845,Handmade Crafts,Delhi Old City
2025-04-19,1452,Handmade Crafts,Pune Rural
2025-04-11,6617,Street Food,Delhi Old City
2025-06-28,4726,Handmade Crafts,Delhi Old City
2025-04-04,5119,Handmade Crafts,Mumbai Suburban
2025-08-17,10499,Handmade Crafts,Chennai Central
2025-07-09,4283,Kirana Store,Mumbai Suburban
2024-05-21,2051,Handmade Crafts,Delhi Old City
2024-03-19,14972,Organic Produce,Pune Rural
2025-08-24,13182,Organic Produce,Pune Rural
2025-03-12,3845,Street Food,Bangalore South
2025-04-04,7875,Handmade Crafts,Pune Rural
2024-09-02,9722,Kirana Store,Bangalore South
2025-03-05,4381,Handmade Crafts,Chennai Central
2025-11-18,14850,Street Food,Bangalore South
2024-02-25,8726,Local Tailoring,Bangalore South
2025-08-11,9086,Local Tailoring,Chennai Central
2024-12-28,2844,Local Tailoring,Bangalore South
2024-10-03,3396,Organic Produce,Chennai Central
2025-10-04,13801,Handmade Crafts,Pune Rural
2024-11-01,5011,Kirana Store,Chennai Central
